Gene,SuperPathway,SubPathway,KOAnnot,ERR688534,ERR688548,ERR688557,ERR688560,ERR688561,ERR688574,ERR688580,ERR688581,ERR688589,ERR688613,ERR688615,ERR688623,ERR688627,ERR688632,ERR688635,ERR688638,ERR688642,ERR688650,ERR710424,ERR710426,ERR710427,ERR710428,ERR710429,ERR710430,ERR710431,ERR710432
K00030,Carbohydrate metabolism,Citrate_cycle_TCA_cycle,IDH3; isocitrate dehydrogenase (NAD+),9.26E-05,0.000180818,0.000129411,0.000121629,7.5E-05,0.000163785,0.000127143,0.000105693,0.000170768,0.000116505,0.000210385,0.000157249,0.00015419,0.0001468,0,0,0.000173934,0.000140947,0.000115139,0.000147635,0.000156475,0.000120836,0.000110462,0.000124249,8.49E-05,0.000136113
K00031,Carbohydrate metabolism,Citrate_cycle_TCA_cycle,IDH1 IDH2 icd; isocitrate dehydrogenase,0.000360607,0.000502121,0.000414024,0.000347278,0.000506267,0.000356783,0.000428738,0.00041445,0.000434587,0.000484236,0.0003864,0.000430497,0.000444865,0.000417707,0,0.000309692,0.000388319,0.000532453,0.00051317,0.000393614,0.000387048,0.000433354,0.00043981,0.000362707,0.00054864,0.000534613
K00032,Carbohydrate metabolism,Pentose_phosphate_pathway,E1.1.1.43; phosphogluconate 2-dehydrogenase,0,0,0,0,0,0,0,0,0,0,0,0,0,5.64E-06,0,0,0,0,0,0,0,0,0,0,0,0
K00033,Carbohydrate metabolism,Pentose_phosphate_pathway,PGD gnd gntZ; 6-phosphogluconate dehydrogenase,0.000242566,9.73E-05,0.000217664,9.89E-05,0.000153798,0.000163129,0.000134796,0.000171745,0.000127932,8.73E-05,0.000268122,0.000216482,0.000114606,0.000150699,0,0.000487931,0.000153541,0.000154694,0.00025109,0.000158854,0.000113831,0.000123254,0.000118734,0.000113633,7.27E-05,0.000210074
K00034,Carbohydrate metabolism,Pentose_phosphate_pathway,gdh; glucose 1-dehydrogenase,9E-05,4.35E-05,0.000122234,1.76E-05,3.53E-05,1.39E-05,3.06E-05,5.29E-05,5.53E-05,5.7E-05,3.26E-05,5E-05,6.09E-05,3.42E-05,0,0.000128118,0.000125103,2.94E-05,0,5.19E-05,2.11E-05,2.4E-05,1.82E-05,5.25E-05,0,5.61E-05
K00036,Carbohydrate metabolism,Pentose_phosphate_pathway,G6PD zwf; glucose-6-phosphate 1-dehydrogenase,0.000137309,9.48E-05,0.000106305,0.000130111,0.000166221,9.47E-05,7.3E-05,0.000141781,5.38E-05,2.41E-05,0.000132251,0.000116926,0.000100582,8.82E-05,0,0.000261357,0.000111022,0.000114374,0.000103784,0.000109122,6.68E-05,0.000131135,7.53E-05,0.000102126,0.000106493,0.000183946
K00039,Carbohydrate metabolism,Pentose_and_glucuronate_interconversions,rbtD; ribitol 2-dehydrogenase,1.35E-05,0,1.85E-05,0,0,0,0,0,0,2.91E-05,0,0,0,0,0,3.34E-05,0,1.07E-05,0,0,0,0,0,0,0,0
K00040,Carbohydrate metabolism,Pentose_and_glucuronate_interconversions,uxuB; fructuronate reductase,0.000162516,0.000208421,0.00016244,0.000158154,7.05E-05,0.000136377,0.000167368,0.000164613,0.000146916,0.000175919,0.000220116,0.000117508,0.000177722,0.000134365,0,0.000141861,0.000187231,0.00019886,0.000255346,0.000196308,0.000180141,0.00016971,0.000171243,0.000284417,0.000310398,0.000152483
K00041,Carbohydrate metabolism,Pentose_and_glucuronate_interconversions,uxaB; tagaturonate reductase,0.000186735,0.000203573,0.000172574,0.000132067,0.000113274,0.000130957,0.000176435,0.000191939,0.000135114,0.000135266,0.000135808,0.000106242,0.000175953,0.00018446,0,0.000198904,0.000215441,0.000190215,0.000217324,0.000144168,0.000193679,0.000181774,0.000191197,0.000225751,0.000243129,0.000226232
K00042,Carbohydrate metabolism,Glyoxylate_and_dicarboxylate_metabolism,garR glxR; 2-hydroxy-3-oxopropionate reductase,0.000142512,0.000162791,0.000165975,0.000141776,0.00015599,9.35E-05,0.000177733,0.000106375,0.000105536,0.000107358,0.000171117,0.00017698,0.000103789,0.000138283,0,0.000108881,0.000195218,0.000131803,3.61E-05,0.000137327,0.000120218,0.000100932,0.00010359,0.000141007,8.11E-05,7.54E-05
K00043,Carbohydrate metabolism,Butanoate_metabolism,gbd; 4-hydroxybutyrate dehydrogenase,2.63E-05,9.95E-05,6.04E-05,3.76E-05,2.48E-05,8.37E-05,6.38E-05,4.74E-05,8.38E-05,9.24E-05,7.92E-05,9.91E-05,6.78E-05,8.45E-05,0,2.17E-05,9.44E-05,8.38E-05,5.67E-05,0.000109057,7E-05,8.54E-05,3.8E-05,6.19E-05,4.81E-05,5.96E-05
K00045,Carbohydrate metabolism,Fructose_and_mannose_metabolism,E1.1.1.67 mtlK; mannitol 2-dehydrogenase,0,0,0,0,0,7.45E-06,0,3.88E-06,3.94E-06,0,0,8.71E-06,0,1.49E-05,0,1.6E-05,5.11E-06,1.55E-05,0,0,7.46E-06,8.31E-06,9.47E-06,0,0,0
K00048,Carbohydrate metabolism,Glyoxylate_and_dicarboxylate_metabolism,fucO; lactaldehyde reductase,0.000416328,0.000406713,0.000340253,0.000317632,0.000239882,0.000378213,0.000441244,0.00033741,0.000364287,0.000398433,0.000406503,0.000312348,0.000428523,0.000391288,0,0.000378808,0.000380604,0.000434322,0.000411999,0.000310393,0.000398736,0.000420547,0.00039325,0.000337127,0.000638891,0.000481762
K00049,Carbohydrate metabolism,Pyruvate_metabolism,GRHPR; glyoxylate/hydroxypyruvate reductase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.24E-06,0,0,0,0,0,0
K00050,Carbohydrate metabolism,Glyoxylate_and_dicarboxylate_metabolism,ttuD; hydroxypyruvate reductase,7.98E-05,9.67E-05,3.1E-05,4.44E-05,0,0.000134155,0.000136771,7.93E-05,0.000119551,0.00013537,4.04E-05,4.63E-05,0.000184735,0.000193963,0,1.9E-05,0.000125188,0.000110756,0.000150502,6.28E-05,0.000167956,0.00010078,0.000117422,6.58E-05,0.000100063,9.67E-05
K00051,Carbohydrate metabolism,Pyruvate_metabolism,E1.1.1.82; malate dehydrogenase (NADP+),0,0,0,0,0,1.06E-05,7.6E-06,0,0,0,0,0,1.56E-05,1.07E-05,0,0,0,0,0,0,0,6.1E-06,0,0,0,1.06E-05
K00052,Carbohydrate metabolism,C5-Branched_dibasic_acid_metabolism,leuB; 3-isopropylmalate dehydrogenase,0.000538819,0.000550107,0.000509758,0.000487095,0.000409305,0.000490697,0.000499694,0.000577333,0.000472716,0.000563164,0.000529288,0.000532714,0.000488824,0.000592514,0,0.000297812,0.000507407,0.000602546,0.000581124,0.000552083,0.000564529,0.000597557,0.000605,0.000519663,0.000512355,0.000615845
K00064,Carbohydrate metabolism,Fructose_and_mannose_metabolism,E1.1.1.122; D-threo-aldose 1-dehydrogenase,3.38E-05,3.84E-05,0,0,0,2.04E-05,1.95E-05,4.24E-05,7.69E-06,7.31E-06,0,3.65E-05,4.46E-05,4E-05,0,2.99E-05,1.86E-05,5.63E-05,0.000150016,2.84E-05,5.51E-05,3.92E-05,4.21E-05,0,2.21E-05,5.47E-05
K00065,Carbohydrate metabolism,Pentose_and_glucuronate_interconversions,kduD; 2-deoxy-D-gluconate 3-dehydrogenase,0.000229011,0.000172316,0.000158573,0.00017875,0.000181029,0.00014314,0.000204652,0.00017513,0.000104278,0.000163655,0.000306546,0.000160899,0.000111391,0.000121807,0,0.00031458,0.000146749,0.000232207,0,0.000252953,0.000116214,0.000165319,8.08E-05,0.00019822,6.68E-05,5.63E-05
K00066,Carbohydrate metabolism,Fructose_and_mannose_metabolism,algD; GDP-mannose 6-dehydrogenase,0,0,0,0,0,0,0,0,9.61E-06,0,0,4.99E-06,0,8.47E-06,0,0,0,6.05E-06,0,0,8.44E-06,4.86E-06,0,2.11E-05,0,0
K00068,Carbohydrate metabolism,Fructose_and_mannose_metabolism,srlD; sorbitol-6-phosphate 2-dehydrogenase,0.00013301,8.16E-05,0.000116416,0.000137106,0.000168236,6.21E-05,6.93E-05,4.4E-05,7.92E-05,5.52E-05,6.2E-05,7.25E-05,4.71E-05,6.94E-05,0,0.000268078,0.00010242,5.8E-05,4.04E-05,2.95E-05,8.34E-05,2.41E-05,7.11E-05,8.46E-05,4.49E-05,5.51E-05
